Account_Name,Salesforce_ID,Industry,Geography,CSM,Account_Executive,Contract_Start,Contract_End,ARR,New_ARR,ARR_Delta,Renewal_Outcome,Churned,Churn_Reason,Health_Score_Overall,Health_Label,Health_Support,Health_NPS,Health_Usage,Health_Adoption,Health_Engagement,Health_Risk_Score,Risk_Identified,Account_Summary
Ascend Technologies,001ZA7TZ0YNCXLL,Energy,UK & Ireland,Natalie Bergmann,Jason Whitmore,2023-10-19,2024-10-18,353000,424000,71000,Renewal Up,No,,69,Yellow,69,79,66,74,61,63,Budget freeze flagged,"CSM: Natalie Bergmann navigated a champion change successfully; new stakeholder is engaged. AE: Jason Whitmore positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($71,000). Health: Yellow. Outcome: Renewal Up."
Trident Digital,001TAKPUXQPHR62,Energy,Australia & NZ,Lauren Chu,Ethan Graves,2023-01-13,2024-01-13,30000,30000,0,Renewal Flat,No,,92,Green,86,78,100,100,100,83,None identified,CSM: Lauren Chu navigated a champion change successfully; new stakeholder is engaged. AE: Ethan Graves secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Nexus Ventures,0019W1Q5UZNOFY6,Technology,LATAM,Aisha Patel,Brooke Sanders,2023-12-08,2024-12-07,254000,0,-254000,Churn,Yes,Support response times consistently fell below SLA,49,Red,50,37,53,43,65,37,Single-threaded relationship,"CSM: Aisha Patel maintained regular cadence but could not overcome the executive sponsor departure. AE: Brooke Sanders competed against an incumbent re-entry; lost on total cost of ownership. Prediction: Account did not renew. Final ARR lost: $254,000. Reason: Support response times consistently fell below SLA"
Indigo Services,001V86WZS3T60RJ,Media & Entertainment,Australia & NZ,Lauren Chu,Ethan Graves,2023-03-12,2024-03-11,65000,65000,0,Renewal Flat,No,,63,Yellow,60,66,54,74,61,59,Missed QBR Q3,CSM: Lauren Chu established multi-threaded relationships across IT and business units. AE: Ethan Graves is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
Meridian Ventures,001NFHOLQC3O18A,Financial Services,Canada,Aisha Patel,Chloe Dupont,2023-04-23,2024-04-22,494000,0,-494000,Churn,Yes,Company downsizing reduced headcount and usage requirements,46,Red,46,34,49,50,52,52,Budget freeze flagged,"CSM: Aisha Patel maintained regular cadence but could not overcome the executive sponsor departure. AE: Chloe Dupont competed against an incumbent re-entry; lost on total cost of ownership. Prediction: Account did not renew. Final ARR lost: $494,000. Reason: Company downsizing reduced headcount and usage requirements"
Keystone Networks,001RNY20479T6VX,Technology,Northeast US,Priya Nair,Chloe Dupont,2023-02-11,2024-02-11,52000,52000,0,Renewal Flat,No,,63,Yellow,65,63,59,67,63,63,Budget freeze flagged,CSM: Priya Nair proactively identified and resolved an integration risk ahead of renewal. AE: Chloe Dupont aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
Sapphire Solutions,0010B8IC8BBI4WI,Media & Entertainment,APAC,Tyler Henson,Brooke Sanders,2023-10-24,2024-10-23,89000,99000,10000,Renewal Up,No,,68,Yellow,77,64,58,72,72,83,Single-threaded relationship,"CSM: Tyler Henson delivered ROI report in Q3; executive team cited measurable value. AE: Brooke Sanders is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($10,000). Health: Yellow. Outcome: Renewal Up."
Vertex Global,001U6N7HV3IZKY2,Real Estate,UK & Ireland,Sarah Mitchell,Alicia Torres,2023-12-29,2024-12-28,489000,534000,45000,Renewal Up,No,,90,Green,90,81,95,99,89,79,Budget freeze flagged,"CSM: Sarah Mitchell delivered ROI report in Q3; executive team cited measurable value. AE: Alicia Torres closed renewal with a 9% ARR increase. Prediction: Likely to renew. ARR movement: up ($45,000). Health: Green. Outcome: Renewal Up."
Meridian Networks,001GSXW71Q3VLI7,Professional Services,Nordics,Derek Okafor,Chloe Dupont,2023-05-24,2024-05-23,132000,157000,25000,Renewal Up,No,,90,Green,91,89,79,94,100,89,Declining usage trend,"CSM: Derek Okafor delivered ROI report in Q3; executive team cited measurable value. AE: Chloe Dupont aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($25,000). Health: Green. Outcome: Renewal Up."
Parallax AI,0015USGIOTIRZQA,Energy,Nordics,Derek Okafor,Jason Whitmore,2023-06-06,2024-06-05,126000,126000,0,Renewal Flat,No,,74,Yellow,75,77,76,71,73,83,Integration stalled,CSM: Derek Okafor proactively identified and resolved an integration risk ahead of renewal. AE: Jason Whitmore aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
